Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,CS,PSxG,PSxG+/-,/90,Att (GK),#OPA,#OPA/90,Primary_Pos,cluster
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24.0,2000.0,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,1,eng ENG,DF,eng Premier League,24.0,2000.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,eng ENG,DF,eng Premier League,24.0,2000.0,1.0,50,63,79.4,887,361,0,0.0,0.0,0.0,0,8,0,0,8,1,eng ENG,DF,eng Premier League,24.0,2000.0,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,1,eng ENG,DF,eng Premier League,24.0,2000.0,1.0,2,2.09,2,0,0,0,0,0,0,0.0,1,eng ENG,DF,eng Premier League,24.0,2000.0,1.0,2,2,1,1,0,1,100.0,0,3,1,2,1,3,0,0,1,eng ENG,DF,eng Premier League,24.0,2000.0,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,1,eng ENG,DF,eng Premier League,24.0,2000.0,3,86,29,2.5,1.0,1,61.0,0,2,13.0,11,0.67,2,0,2,2.09,1.82,2.3,0.3,2.0,2.12,1,eng ENG,DF,eng Premier League,24.0,2000.0,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,,,,,,,,DF,1
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24.0,2000.0,4,1,120,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,10,0.0,0.02,2,eng ENG,"DF,MF",es La Liga,24.0,2000.0,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2,eng ENG,"DF,MF",es La Liga,24.0,2000.0,1.3,47,66,71.2,705,190,0,0.0,0.0,0.0,1,2,0,0,6,2,eng ENG,"DF,MF",es La Liga,24.0,2000.0,1.3,66,54,12,1,0,0,5,11,0,0,0,0,47,0,1,2,eng ENG,"DF,MF",es La Liga,24.0,2000.0,1.3,1,0.75,1,0,0,0,0,0,0,0.0,2,eng ENG,"DF,MF",es La Liga,24.0,2000.0,1.3,4,4,2,2,0,5,80.0,1,1,0,1,0,4,3,0,2,eng ENG,"DF,MF",es La Liga,24.0,2000.0,1.3,85,1,21,28,36,0,85,4,1,25.0,2,50.0,46,215,103,0,3,0,3,1,49,10,2,eng ENG,"DF,MF",es La Liga,24.0,2000.0,4,120,30,3.5,1.3,1,73.0,0,3,16.0,14,0.75,1,3,-2,-1.5,-1.28,1.5,3.7,-2.3,-1.69,2,eng ENG,"DF,MF",es La Liga,24.0,2000.0,1.3,2,0,0,0,2,0,5,0,4,0,0,0,7,2,1,66.7,,,,,,,,DF,1
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,2003.0,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.0,0.1,3,es ESP,DF,es La Liga,21.0,2003.0,0.7,0,1,0,0.0,1.38,0.0,0.0,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,3,es ESP,DF,es La Liga,21.0,2003.0,0.7,17,29,58.6,268,110,0,0.0,0.0,0.0,0,0,0,0,2,3,es ESP,DF,es La Liga,21.0,2003.0,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,3,es ESP,DF,es La Liga,21.0,2003.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,3,es ESP,DF,es La Liga,21.0,2003.0,0.7,3,2,2,1,0,3,100.0,0,1,0,1,1,4,0,0,3,es ESP,DF,es La Liga,21.0,2003.0,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,4,es ESP,DF,es La Liga,21.0,2003.0,1,65,65,1.9,0.7,1,65.0,0,0,,8,0.0,1,2,-1,-1.38,-1.14,1.4,0.7,0.7,0.93,3,es ESP,DF,es La Liga,21.0,2003.0,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,,,,,,,,DF,1
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20.0,2004.0,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.0,0.06,4,ie IRL,"DF,MF",it Serie A,20.0,2004.0,1.0,0,1,0,0.0,1.02,0.0,0.0,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,4,ie IRL,"DF,MF",it Serie A,20.0,2004.0,1.0,36,46,78.3,614,206,0,0.0,0.0,0.0,0,2,0,0,4,4,ie IRL,"DF,MF",it Serie A,20.0,2004.0,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,4,ie IRL,"DF,MF",it Serie A,20.0,2004.0,1.0,1,1.02,1,0,0,0,0,0,0,0.0,4,ie IRL,"DF,MF",it Serie A,20.0,2004.0,1.0,4,2,4,0,0,3,66.7,1,2,1,1,1,5,3,0,4,ie IRL,"DF,MF",it Serie A,20.0,2004.0,1.0,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,5,ie IRL,"DF,MF",it Serie A,20.0,2004.0,6,88,15,2.6,1.0,0,,0,6,15.0,12,1.67,2,0,2,2.05,2.5,0.6,1.5,-0.9,-0.91,4,ie IRL,"DF,MF",it Serie A,20.0,2004.0,1.0,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,,,,,,,,DF,1
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,1987.0,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.0,0.03,6,ma MAR,DF,fr Ligue 1,36.0,1987.0,11.5,0,2,1,50.0,0.17,0.09,0.0,0.0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,6,ma MAR,DF,fr Ligue 1,36.0,1987.0,11.5,438,505,86.7,7952,2404,0,0.1,0.3,-0.1,2,28,0,0,22,6,ma MAR,DF,fr Ligue 1,36.0,1987.0,11.5,505,461,42,20,0,0,0,3,0,0,0,0,438,2,1,6,ma MAR,DF,fr Ligue 1,36.0,1987.0,11.5,6,0.55,5,1,0,0,0,0,0,0.0,6,ma MAR,DF,fr Ligue 1,36.0,1987.0,11.5,17,11,15,2,0,16,62.5,6,26,18,8,14,31,57,1,6,ma MAR,DF,fr Ligue 1,36.0,1987.0,11.5,641,127,414,215,14,7,641,7,3,42.9,4,57.1,322,1732,837,4,1,0,8,3,393,3,8,ma MAR,DF,fr Ligue 1,36.0,1987.0,16,1033,65,33.8,11.5,11,85.0,9,5,19.0,17,0.94,5,31,-26,-2.27,-1.73,8.0,26.4,-18.4,-1.67,6,ma MAR,DF,fr Ligue 1,36.0,1987.0,11.5,2,0,0,16,6,0,0,14,11,0,0,0,42,19,10,65.5,,,,,,,,DF,4
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,1999.0,12,10,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,52,5,0.0,0.0,8,eg EGY,DF,fr Ligue 1,25.0,1999.0,9.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,8,eg EGY,DF,fr Ligue 1,25.0,1999.0,9.5,471,521,90.4,8299,2620,0,0.0,0.2,0.0,0,41,1,0,52,8,eg EGY,DF,fr Ligue 1,25.0,1999.0,9.5,521,493,28,21,0,7,2,5,0,0,0,0,471,0,2,8,eg EGY,DF,fr Ligue 1,25.0,1999.0,9.5,8,0.84,8,0,0,0,0,0,0,0.0,8,eg EGY,DF,fr Ligue 1,25.0,1999.0,9.5,21,14,12,6,3,22,59.1,9,11,5,6,15,36,56,1,8,eg EGY,DF,fr Ligue 1,25.0,1999.0,9.5,635,70,260,331,46,3,635,4,1,25.0,2,50.0,342,1427,822,6,4,0,4,3,386,5,11,eg EGY,DF,fr Ligue 1,25.0,1999.0,12,855,71,27.9,9.5,10,83.0,8,2,12.0,12,1.92,15,14,1,0.11,-0.87,16.5,11.5,5.0,0.53,8,eg EGY,DF,fr Ligue 1,25.0,1999.0,9.5,2,0,0,9,10,0,2,15,14,0,0,0,50,31,19,62.0,,,,,,,,DF,4
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,1993.0,25,17,1393,15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.45,0.4,9,tn TUN,"DF,MF",fr Ligue 1,30.0,1993.0,15.5,5,29,11,37.9,1.87,0.71,0.17,0.45,16.9,1,0,0,4.3,4.3,0.17,0.7,0.7,9,tn TUN,"DF,MF",fr Ligue 1,30.0,1993.0,15.5,502,678,74.0,7914,2701,2,1.9,1.7,0.1,20,19,21,7,42,9,tn TUN,"DF,MF",fr Ligue 1,30.0,1993.0,15.5,678,551,122,12,0,2,51,110,0,0,0,0,502,5,22,9,tn TUN,"DF,MF",fr Ligue 1,30.0,1993.0,15.5,45,2.91,33,3,4,4,0,1,3,0.19,9,tn TUN,"DF,MF",fr Ligue 1,30.0,1993.0,15.5,43,25,18,14,11,43,65.1,15,20,6,14,20,63,37,0,9,tn TUN,"DF,MF",fr Ligue 1,30.0,1993.0,15.5,886,51,230,349,315,50,886,29,12,41.4,16,55.2,391,1880,1003,35,15,9,32,14,481,101,12,tn TUN,"DF,MF",fr Ligue 1,30.0,1993.0,25,1393,56,45.5,15.5,17,77.0,6,8,10.0,1,1.8,26,16,10,0.65,-0.16,26.2,18.0,8.3,0.54,9,tn TUN,"DF,MF",fr Ligue 1,30.0,1993.0,15.5,2,0,0,27,14,5,51,20,25,0,0,0,72,22,14,61.1,,,,,,,,DF,4
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,1999.0,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.44,0.09,10,sa KSA,DF,it Serie A,25.0,1999.0,2.3,0,1,0,0.0,0.44,0.0,0.0,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,10,sa KSA,DF,it Serie A,25.0,1999.0,2.3,118,136,86.8,1766,368,1,0.2,0.2,0.8,2,4,4,2,9,10,sa KSA,DF,it Serie A,25.0,1999.0,2.3,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3,10,sa KSA,DF,it Serie A,25.0,1999.0,2.3,6,2.65,5,0,0,0,1,0,1,0.44,10,sa KSA,DF,it Serie A,25.0,1999.0,2.3,3,2,2,0,1,1,100.0,0,2,0,2,2,5,0,0,10,sa KSA,DF,it Serie A,25.0,1999.0,2.3,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,13,sa KSA,DF,it Serie A,25.0,1999.0,4,205,51,6.0,2.3,2,62.0,0,2,41.0,27,1.5,4,1,3,1.32,0.81,3.6,1.5,2.1,0.92,10,sa KSA,DF,it Serie A,25.0,1999.0,2.3,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0,,,,,,,,DF,1
11,Abel,es ESP,DF,Osasuna,es La Liga,23.0,2000.0,35,20,2074,23.0,2,0,2,2,0,0,3,0,0.5,0.5,1.0,1.6,50,77,92,0.09,0.07,11,es ESP,DF,es La Liga,23.0,2000.0,23.0,2,12,4,33.3,0.52,0.17,0.17,0.5,22.9,0,0,0,0.5,0.5,0.04,1.5,1.5,11,es ESP,DF,es La Liga,23.0,2000.0,23.0,776,1071,72.5,12899,5046,0,1.0,1.5,-1.0,16,57,18,13,77,11,es ESP,DF,es La Liga,23.0,2000.0,23.0,1071,847,220,14,3,2,85,206,0,0,0,0,776,4,47,11,es ESP,DF,es La Liga,23.0,2000.0,23.0,39,1.69,29,2,5,0,1,2,4,0.17,11,es ESP,DF,es La Liga,23.0,2000.0,23.0,61,37,28,25,8,63,61.9,24,29,4,25,18,79,64,2,11,es ESP,DF,es La Liga,23.0,2000.0,23.0,1322,65,370,605,357,19,1322,35,18,51.4,13,37.1,605,3269,1792,50,44,7,27,18,683,92,14,es ESP,DF,es La Liga,23.0,2000.0,35,2074,59,60.6,23.0,20,86.0,13,15,24.0,3,1.46,30,35,-5,-0.22,-0.28,25.7,34.4,-8.7,-0.38,11,es ESP,DF,es La Liga,23.0,2000.0,23.0,3,0,0,25,32,3,85,18,37,0,1,0,106,20,17,54.1,,,,,,,,DF,0
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,2000.0,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.17,0.14,15,br BRA,DF,fr Ligue 1,24.0,2000.0,12.1,1,7,3,42.9,0.58,0.25,0.14,0.33,17.7,0,0,0,0.6,0.6,0.08,0.4,0.4,15,br BRA,DF,fr Ligue 1,24.0,2000.0,12.1,568,675,84.1,8355,3494,1,1.1,2.3,-0.1,11,45,11,2,66,15,br BRA,DF,fr Ligue 1,24.0,2000.0,12.1,675,576,97,9,1,5,31,82,6,6,0,0,568,2,19,15,br BRA,DF,fr Ligue 1,24.0,2000.0,12.1,25,2.06,21,3,0,1,0,0,1,0.08,15,br BRA,DF,fr Ligue 1,24.0,2000.0,12.1,29,20,12,10,7,32,65.6,11,15,2,13,5,34,41,0,15,br BRA,DF,fr Ligue 1,24.0,2000.0,12.1,791,40,207,361,225,22,791,12,6,50.0,6,50.0,426,1926,1239,31,16,5,14,8,513,55,18,br BRA,DF,fr Ligue 1,24.0,2000.0,19,1090,57,35.6,12.1,12,83.0,6,7,14.0,13,1.84,18,15,3,0.25,-0.48,21.3,15.5,5.8,0.48,15,br BRA,DF,fr Ligue 1,24.0,2000.0,12.1,1,0,0,16,4,0,31,5,20,0,0,0,45,7,9,43.8,,,,,,,,DF,4
