Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,CS,PSxG,PSxG+/-,/90,Att (GK),#OPA,#OPA/90,Primary_Pos,cluster
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,2006.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,5,fr FRA,FW,fr Ligue 1,18.0,2006.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,5,fr FRA,FW,fr Ligue 1,18.0,2006.0,0.0,2,2,100.0,41,0,0,0.0,0.0,0.0,0,0,0,0,0,5,fr FRA,FW,fr Ligue 1,18.0,2006.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,fr FRA,FW,fr Ligue 1,18.0,2006.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,5,fr FRA,FW,fr Ligue 1,18.0,2006.0,0.0,1,1,1,0,0,1,100.0,0,0,0,0,0,1,0,0,5,fr FRA,FW,fr Ligue 1,18.0,2006.0,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,7,fr FRA,FW,fr Ligue 1,18.0,2006.0,1,3,3,0.1,0.0,0,,0,1,3.0,7,3.0,0,0,0,0.0,-0.79,0.0,0.0,0.0,-0.49,5,fr FRA,FW,fr Ligue 1,18.0,2006.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,FW,0
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2003.0,34,33,2768,30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.33,0.4,14,fr FRA,FW,fr Ligue 1,21.0,2003.0,30.8,9,73,26,35.6,2.37,0.85,0.11,0.31,15.0,0,1,1,8.5,7.7,0.11,0.5,0.3,14,fr FRA,FW,fr Ligue 1,21.0,2003.0,30.8,351,538,65.2,5145,976,2,3.8,3.4,-1.8,27,23,15,4,48,14,fr FRA,FW,fr Ligue 1,21.0,2003.0,30.8,538,510,26,1,3,4,30,1,0,0,0,0,351,2,27,14,fr FRA,FW,fr Ligue 1,21.0,2003.0,30.8,61,1.98,43,0,8,6,3,1,9,0.29,14,fr FRA,FW,fr Ligue 1,21.0,2003.0,30.8,11,5,2,4,5,9,33.3,6,15,1,14,4,15,36,1,14,fr FRA,FW,fr Ligue 1,21.0,2003.0,30.8,878,34,75,382,438,142,877,86,35,40.7,48,55.8,587,3670,1743,75,42,42,92,65,689,169,17,fr FRA,FW,fr Ligue 1,21.0,2003.0,34,2768,81,90.5,30.8,33,83.0,12,1,23.0,0,1.06,34,42,-8,-0.26,1.28,34.6,47.1,-12.6,-0.41,14,fr FRA,FW,fr Ligue 1,21.0,2003.0,30.8,3,0,0,34,53,5,30,4,5,0,0,0,83,64,76,45.7,,,,,,,,FW,4
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26.0,1997.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,18,eng ENG,FW,it Serie A,26.0,1997.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,18,eng ENG,FW,it Serie A,26.0,1997.0,0.0,1,3,33.3,44,32,0,0.0,0.0,0.0,0,1,0,0,1,18,eng ENG,FW,it Serie A,26.0,1997.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,18,eng ENG,FW,it Serie A,26.0,1997.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,18,eng ENG,FW,it Serie A,26.0,1997.0,0.0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,18,eng ENG,FW,it Serie A,26.0,1997.0,0.0,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2,21,eng ENG,FW,it Serie A,26.0,1997.0,1,1,1,0.0,0.0,0,,0,1,1.0,1,1.0,0,0,0,0.0,-0.55,0.0,0.1,0.0,-3.09,18,eng ENG,FW,it Serie A,26.0,1997.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,,,,,,,,FW,0
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26.0,1997.0,28,12,1183,13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,8,26,69,0.46,0.7,19,eng ENG,FW,it Serie A,26.0,1997.0,13.1,3,26,11,42.3,1.98,0.84,0.08,0.18,13.4,0,1,2,7.1,5.4,0.21,-4.1,-3.4,19,eng ENG,FW,it Serie A,26.0,1997.0,13.1,152,221,68.8,1956,534,4,2.2,1.3,1.8,14,13,10,0,26,19,eng ENG,FW,it Serie A,26.0,1997.0,13.1,221,203,17,0,5,0,3,0,0,0,0,0,152,1,6,19,eng ENG,FW,it Serie A,26.0,1997.0,13.1,33,2.51,28,0,0,4,1,0,9,0.68,19,eng ENG,FW,it Serie A,26.0,1997.0,13.1,17,11,2,10,5,8,75.0,2,13,0,13,2,19,16,0,19,eng ENG,FW,it Serie A,26.0,1997.0,13.1,367,20,46,172,149,57,365,14,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69,22,eng ENG,FW,it Serie A,26.0,1997.0,28,1183,42,34.6,13.1,12,70.0,2,16,22.0,6,1.75,27,14,13,0.99,0.79,24.1,12.8,11.3,0.86,19,eng ENG,FW,it Serie A,26.0,1997.0,13.1,1,0,0,23,12,7,3,2,11,1,0,0,12,36,33,52.2,,,,,,,,FW,0
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24.0,2000.0,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,5,0.0,0.29,23,ng NGA,FW,es La Liga,24.0,2000.0,1.5,0,2,1,50.0,1.34,0.67,0.0,0.0,22.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4,23,ng NGA,FW,es La Liga,24.0,2000.0,1.5,20,27,74.1,334,48,0,0.0,0.0,0.0,0,3,1,0,5,23,ng NGA,FW,es La Liga,24.0,2000.0,1.5,27,24,3,0,0,0,0,0,0,0,0,0,20,0,0,23,ng NGA,FW,es La Liga,24.0,2000.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,23,ng NGA,FW,es La Liga,24.0,2000.0,1.5,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,23,ng NGA,FW,es La Liga,24.0,2000.0,1.5,34,1,4,18,12,1,34,1,1,100.0,0,0.0,5,18,0,0,0,0,2,0,20,5,29,ng NGA,FW,es La Liga,24.0,2000.0,4,134,34,3.9,1.5,1,90.0,1,3,15.0,0,0.25,1,3,-2,-1.34,-1.04,1.0,2.0,-1.0,-0.71,23,ng NGA,FW,es La Liga,24.0,2000.0,1.5,0,0,0,1,0,1,0,0,0,0,0,0,4,6,10,37.5,,,,,,,,FW,0
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24.0,2000.0,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.33,0.44,24,ng NGA,FW,fr Ligue 1,24.0,2000.0,11.9,3,26,12,46.2,2.18,1.0,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3,24,ng NGA,FW,fr Ligue 1,24.0,2000.0,11.9,112,179,62.6,1540,198,1,1.0,0.1,0.0,12,8,0,0,6,24,ng NGA,FW,fr Ligue 1,24.0,2000.0,11.9,179,160,17,0,1,2,5,0,0,0,0,0,112,2,7,24,ng NGA,FW,fr Ligue 1,24.0,2000.0,11.9,25,2.09,18,0,4,1,2,0,5,0.42,24,ng NGA,FW,fr Ligue 1,24.0,2000.0,11.9,4,3,1,2,1,4,75.0,1,2,1,1,1,5,5,1,24,ng NGA,FW,fr Ligue 1,24.0,2000.0,11.9,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45,30,ng NGA,FW,fr Ligue 1,24.0,2000.0,15,1075,72,35.1,11.9,13,79.0,7,2,22.0,1,0.53,12,29,-17,-1.42,0.35,12.8,23.6,-10.8,-0.9,24,ng NGA,FW,fr Ligue 1,24.0,2000.0,11.9,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9,,,,,,,,FW,0
25,Che Adams,sct SCO,FW,Torino,it Serie A,28.0,1996.0,36,30,2652,29.5,9,3,12,9,0,1,2,0,9.0,8.2,2.0,10.2,23,40,153,0.41,0.37,25,sct SCO,FW,it Serie A,28.0,1996.0,29.5,9,63,25,39.7,2.14,0.85,0.14,0.36,15.7,0,0,1,9.0,8.2,0.13,0.0,0.8,25,sct SCO,FW,it Serie A,28.0,1996.0,29.5,414,557,74.3,6531,1184,3,2.0,2.9,1.0,26,32,7,0,40,25,sct SCO,FW,it Serie A,28.0,1996.0,29.5,557,513,43,3,4,5,10,1,0,0,0,0,414,1,17,25,sct SCO,FW,it Serie A,28.0,1996.0,29.5,63,2.14,49,1,0,8,5,0,5,0.17,25,sct SCO,FW,it Serie A,28.0,1996.0,29.5,12,6,2,4,6,7,14.3,6,13,6,7,2,14,18,0,25,sct SCO,FW,it Serie A,28.0,1996.0,29.5,802,19,53,387,371,104,801,37,11,29.7,22,59.5,509,2066,702,23,18,9,63,34,630,153,31,sct SCO,FW,it Serie A,28.0,1996.0,36,2652,74,77.5,29.5,30,82.0,20,6,33.0,1,1.14,31,36,-5,-0.17,-0.05,27.0,37.5,-10.4,-0.35,25,sct SCO,FW,it Serie A,28.0,1996.0,29.5,2,0,0,29,40,23,10,2,6,0,0,0,50,36,62,36.7,,,,,,,,FW,4
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,2001.0,25,19,1545,17.2,2,2,4,2,0,0,5,1,5.5,5.5,2.4,7.9,8,14,84,0.23,0.46,27,at AUT,FW,de Bundesliga,23.0,2001.0,17.2,2,36,11,30.6,2.1,0.64,0.06,0.18,12.4,0,0,0,5.5,5.5,0.16,-3.5,-3.5,27,at AUT,FW,de Bundesliga,23.0,2001.0,17.2,198,312,63.5,2376,316,2,2.4,1.9,-0.4,17,7,8,0,14,27,at AUT,FW,de Bundesliga,23.0,2001.0,17.2,312,292,18,0,2,0,5,2,0,0,0,0,198,2,12,27,at AUT,FW,de Bundesliga,23.0,2001.0,17.2,29,1.69,22,0,1,3,3,0,3,0.17,27,at AUT,FW,de Bundesliga,23.0,2001.0,17.2,9,3,3,3,3,11,27.3,8,14,0,14,12,21,20,0,27,at AUT,FW,de Bundesliga,23.0,2001.0,17.2,534,21,53,252,234,80,534,29,10,34.5,18,62.1,275,1026,349,8,5,4,59,24,350,84,33,at AUT,FW,de Bundesliga,23.0,2001.0,25,1545,62,50.5,17.2,19,75.0,4,6,20.0,5,1.4,20,29,-9,-0.52,-0.82,23.7,18.5,5.2,0.3,27,at AUT,FW,de Bundesliga,23.0,2001.0,17.2,5,1,0,38,22,17,5,12,3,0,0,0,52,53,108,32.9,,,,,,,,FW,0
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22.0,2002.0,25,17,1433,15.9,7,6,13,7,0,0,4,0,5.5,5.5,6.0,11.5,68,28,153,0.82,0.72,30,de GER,"FW,MF",de Bundesliga,22.0,2002.0,15.9,7,46,18,39.1,2.89,1.13,0.15,0.39,17.6,0,0,0,5.5,5.5,0.12,1.5,1.5,30,de GER,"FW,MF",de Bundesliga,22.0,2002.0,15.9,298,401,74.3,4376,889,6,6.0,4.1,0.0,28,10,19,2,28,30,de GER,"FW,MF",de Bundesliga,22.0,2002.0,15.9,401,388,11,1,3,2,26,7,2,2,0,0,298,2,20,30,de GER,"FW,MF",de Bundesliga,22.0,2002.0,15.9,57,3.58,35,1,12,6,2,1,11,0.69,30,de GER,"FW,MF",de Bundesliga,22.0,2002.0,15.9,20,14,6,6,8,20,40.0,12,14,1,13,7,27,5,0,30,de GER,"FW,MF",de Bundesliga,22.0,2002.0,15.9,636,9,51,231,365,88,636,94,40,42.6,49,52.1,417,3230,1543,68,36,41,43,31,465,153,38,de GER,"FW,MF",de Bundesliga,22.0,2002.0,25,1433,57,46.8,15.9,17,72.0,2,8,25.0,0,1.84,38,24,14,0.88,0.55,32.8,20.3,12.5,0.78,30,de GER,"FW,MF",de Bundesliga,22.0,2002.0,15.9,4,0,0,27,18,4,26,7,14,0,0,0,48,9,13,40.9,,,,,,,,FW,4
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22.0,2002.0,29,12,1097,12.2,2,2,4,2,0,0,0,0,2.5,2.5,2.5,4.9,50,18,136,0.33,0.4,31,ci CIV,"FW,MF",eng Premier League,22.0,2002.0,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,17.0,0,0,0,2.5,2.5,0.07,-0.5,-0.5,31,ci CIV,"FW,MF",eng Premier League,22.0,2002.0,12.2,290,382,75.9,4148,820,2,2.5,2.8,-0.5,16,5,17,6,18,31,ci CIV,"FW,MF",eng Premier League,22.0,2002.0,12.2,382,372,9,0,2,0,41,8,1,0,0,0,290,1,12,31,ci CIV,"FW,MF",eng Premier League,22.0,2002.0,12.2,47,3.86,33,0,6,8,0,0,7,0.57,31,ci CIV,"FW,MF",eng Premier League,22.0,2002.0,12.2,23,14,10,8,5,26,38.5,16,12,0,12,8,31,6,2,31,ci CIV,"FW,MF",eng Premier League,22.0,2002.0,12.2,548,10,66,174,315,76,548,50,21,42.0,27,54.0,366,2514,1300,50,21,27,39,12,388,136,40,ci CIV,"FW,MF",eng Premier League,22.0,2002.0,29,1097,38,32.1,12.2,12,66.0,1,17,18.0,6,1.59,18,23,-5,-0.41,-0.88,18.2,19.0,-0.9,-0.07,31,ci CIV,"FW,MF",eng Premier League,22.0,2002.0,12.2,0,0,0,13,4,4,41,8,14,0,0,0,47,7,4,63.6,,,,,,,,FW,4
