Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,CS,PSxG,PSxG+/-,/90,Att (GK),#OPA,#OPA/90,Primary_Pos
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24.0,1999.0,32,32,2842,31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.13,0.3,7,dz ALG,"MF,FW",fr Ligue 1,24.0,1999.0,31.6,6,35,8,22.9,1.11,0.25,0.09,0.38,22.6,0,3,4,6.4,3.2,0.09,-0.4,-0.2,7,dz ALG,"MF,FW",fr Ligue 1,24.0,1999.0,31.6,1373,1672,82.1,21646,6031,1,3.2,3.7,-2.2,39,171,38,3,207,7,dz ALG,"MF,FW",fr Ligue 1,24.0,1999.0,31.6,1672,1555,107,41,23,13,44,15,10,5,2,0,1373,10,31,7,dz ALG,"MF,FW",fr Ligue 1,24.0,1999.0,31.6,94,2.98,80,2,5,1,3,3,5,0.16,7,dz ALG,"MF,FW",fr Ligue 1,24.0,1999.0,31.6,48,32,13,20,15,48,31.3,33,24,1,23,26,74,28,2,7,dz ALG,"MF,FW",fr Ligue 1,24.0,1999.0,31.6,1993,38,293,1149,597,49,1989,121,57,47.1,61,50.4,1183,7595,4388,107,90,17,55,51,1446,111,10,dz ALG,"MF,FW",fr Ligue 1,24.0,1999.0,32,2842,89,92.9,31.6,32,89.0,25,0,,0,1.03,28,50,-22,-0.7,-1.11,30.8,54.2,-23.4,-0.74,7,dz ALG,"MF,FW",fr Ligue 1,24.0,1999.0,31.6,4,0,0,48,32,3,44,26,32,0,0,0,193,13,20,39.4,,,,,,,,MF
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21.0,2002.0,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.0,0.02,12,fr FRA,MF,es La Liga,21.0,2002.0,2.9,0,2,0,0.0,0.68,0.0,0.0,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,12,fr FRA,MF,es La Liga,21.0,2002.0,2.9,36,61,59.0,680,267,0,0.0,0.1,0.0,1,7,2,0,6,12,fr FRA,MF,es La Liga,21.0,2002.0,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3,12,fr FRA,MF,es La Liga,21.0,2002.0,2.9,3,1.03,3,0,0,0,0,0,0,0.0,12,fr FRA,MF,es La Liga,21.0,2002.0,2.9,6,4,3,3,0,1,100.0,0,3,0,3,0,6,5,0,12,fr FRA,MF,es La Liga,21.0,2002.0,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,15,fr FRA,MF,es La Liga,21.0,2002.0,7,263,38,7.7,2.9,4,63.0,1,3,4.0,7,1.14,1,2,-1,-0.34,-0.23,1.8,1.6,0.2,0.07,12,fr FRA,MF,es La Liga,21.0,2002.0,2.9,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9,,,,,,,,MF
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28.0,1996.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,13,dk DEN,MF,it Serie A,28.0,1996.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,13,dk DEN,MF,it Serie A,28.0,1996.0,0.1,1,1,100.0,21,7,0,0.0,0.0,0.0,0,0,0,0,0,13,dk DEN,MF,it Serie A,28.0,1996.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13,dk DEN,MF,it Serie A,28.0,1996.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,13,dk DEN,MF,it Serie A,28.0,1996.0,0.1,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,13,dk DEN,MF,it Serie A,28.0,1996.0,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,16,dk DEN,MF,it Serie A,28.0,1996.0,1,7,7,0.2,0.1,0,,0,1,7.0,0,0.0,0,0,0,0.0,0.08,0.0,0.0,0.0,-0.61,13,dk DEN,MF,it Serie A,28.0,1996.0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,MF
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,2000.0,26,22,1901,21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.38,0.56,16,ma MAR,"MF,FW",fr Ligue 1,24.0,2000.0,21.1,7,62,26,41.9,2.94,1.23,0.1,0.23,14.6,0,1,2,10.2,8.6,0.14,-3.2,-2.6,16,ma MAR,"MF,FW",fr Ligue 1,24.0,2000.0,21.1,221,349,63.3,2789,753,2,1.6,2.0,0.4,12,16,10,4,22,16,ma MAR,"MF,FW",fr Ligue 1,24.0,2000.0,21.1,349,333,13,1,0,0,33,7,3,2,0,0,221,3,14,16,ma MAR,"MF,FW",fr Ligue 1,24.0,2000.0,21.1,34,1.61,19,0,4,6,4,1,7,0.33,16,ma MAR,"MF,FW",fr Ligue 1,24.0,2000.0,21.1,22,13,7,8,7,23,17.4,19,16,1,15,6,28,9,0,16,ma MAR,"MF,FW",fr Ligue 1,24.0,2000.0,21.1,613,6,59,196,363,113,611,53,16,30.2,35,66.0,375,1923,880,34,24,19,64,26,450,164,19,ma MAR,"MF,FW",fr Ligue 1,24.0,2000.0,26,1901,73,62.1,21.1,22,82.0,9,4,25.0,0,1.31,22,23,-1,-0.05,-0.2,29.0,22.9,6.1,0.29,16,ma MAR,"MF,FW",fr Ligue 1,24.0,2000.0,21.1,4,0,0,35,25,13,33,6,13,2,0,0,61,22,38,36.7,,,,,,,,MF
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20.0,2004.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,20,it ITA,MF,it Serie A,20.0,2004.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,20,it ITA,MF,it Serie A,20.0,2004.0,0.1,4,6,66.7,55,19,0,0.0,0.0,0.0,0,0,0,0,0,20,it ITA,MF,it Serie A,20.0,2004.0,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1,20,it ITA,MF,it Serie A,20.0,2004.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,20,it ITA,MF,it Serie A,20.0,2004.0,0.1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,20,it ITA,MF,it Serie A,20.0,2004.0,0.1,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0,25,it ITA,MF,it Serie A,20.0,2004.0,1,5,5,0.1,0.1,0,,0,1,5.0,11,0.0,0,0,0,0.0,0.32,0.0,0.0,0.0,0.71,20,it ITA,MF,it Serie A,20.0,2004.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,,,,,,,,MF
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25.0,1999.0,28,21,1965,21.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.6,14,76,10,0.14,0.12,26,us USA,MF,eng Premier League,25.0,1999.0,21.8,0,9,2,22.2,0.41,0.09,0.0,0.0,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,26,us USA,MF,eng Premier League,25.0,1999.0,21.8,902,1069,84.4,14322,3525,3,1.0,0.8,2.0,18,67,4,1,76,26,us USA,MF,eng Premier League,25.0,1999.0,21.8,1069,1025,38,34,2,1,3,4,0,0,0,0,902,6,14,26,us USA,MF,eng Premier League,25.0,1999.0,21.8,41,1.88,35,0,0,1,1,4,4,0.18,26,us USA,MF,eng Premier League,25.0,1999.0,21.8,83,50,26,49,8,72,54.2,33,33,10,23,32,115,42,0,26,us USA,MF,eng Premier League,25.0,1999.0,21.8,1337,62,349,779,224,18,1337,18,4,22.2,10,55.6,663,3337,1447,14,22,1,28,12,757,10,32,us USA,MF,eng Premier League,25.0,1999.0,28,1965,70,57.5,21.8,21,85.0,15,7,26.0,1,1.46,41,30,11,0.5,0.44,35.5,28.9,6.6,0.3,26,us USA,MF,eng Premier League,25.0,1999.0,21.8,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3,,,,,,,,MF
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20.0,2003.0,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,29,fr FRA,MF,fr Ligue 1,20.0,2003.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,29,fr FRA,MF,fr Ligue 1,20.0,2003.0,0.3,8,10,80.0,138,11,0,0.0,0.0,0.0,0,1,0,0,0,29,fr FRA,MF,fr Ligue 1,20.0,2003.0,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,29,fr FRA,MF,fr Ligue 1,20.0,2003.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,29,fr FRA,MF,fr Ligue 1,20.0,2003.0,0.3,1,1,0,1,0,2,50.0,1,0,0,0,0,1,2,0,29,fr FRA,MF,fr Ligue 1,20.0,2003.0,0.3,14,2,8,4,2,1,14,0,0,,0,,6,35,9,1,0,1,0,0,9,1,37,fr FRA,MF,fr Ligue 1,20.0,2003.0,1,26,26,0.8,0.3,0,,0,1,26.0,1,1.0,0,1,-1,-3.46,-3.08,0.1,1.0,-1.0,-3.42,29,fr FRA,MF,fr Ligue 1,20.0,2003.0,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,,,,,,,,MF
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24.0,2000.0,20,6,766,8.5,2,0,2,2,0,0,3,0,2.7,2.7,0.7,3.4,37,24,100,0.23,0.4,32,ma MAR,"MF,FW",de Bundesliga,24.0,2000.0,8.5,2,20,7,35.0,2.35,0.82,0.1,0.29,13.1,0,0,0,2.7,2.7,0.14,-0.7,-0.7,32,ma MAR,"MF,FW",de Bundesliga,24.0,2000.0,8.5,267,360,74.2,3379,721,0,0.7,1.9,-0.7,11,9,15,4,24,32,ma MAR,"MF,FW",de Bundesliga,24.0,2000.0,8.5,360,346,12,0,0,2,33,8,3,2,1,0,267,2,14,32,ma MAR,"MF,FW",de Bundesliga,24.0,2000.0,8.5,29,3.41,19,0,2,4,4,0,0,0.0,32,ma MAR,"MF,FW",de Bundesliga,24.0,2000.0,8.5,15,9,4,2,9,11,36.4,7,11,0,11,0,15,4,0,32,ma MAR,"MF,FW",de Bundesliga,24.0,2000.0,8.5,468,4,40,152,286,53,468,32,15,46.9,16,50.0,248,1501,838,37,25,11,20,6,350,100,41,ma MAR,"MF,FW",de Bundesliga,24.0,2000.0,20,766,38,25.0,8.5,6,69.0,1,14,25.0,1,1.85,17,13,4,0.47,-0.51,16.1,8.5,7.6,0.9,32,ma MAR,"MF,FW",de Bundesliga,24.0,2000.0,8.5,3,0,0,15,9,7,33,0,9,2,0,0,30,21,26,44.7,,,,,,,,MF
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,2000.0,25,14,1219,13.5,4,6,10,4,0,0,3,1,1.0,1.0,2.4,3.4,24,103,30,0.74,0.25,33,fr FRA,MF,it Serie A,24.0,2000.0,13.5,4,14,5,35.7,1.03,0.37,0.29,0.8,21.3,2,0,0,1.0,1.0,0.07,3.0,3.0,33,fr FRA,MF,it Serie A,24.0,2000.0,13.5,718,890,80.7,14050,4602,6,2.4,2.2,3.6,23,84,16,4,103,33,fr FRA,MF,it Serie A,24.0,2000.0,13.5,890,795,90,44,3,14,63,6,39,17,19,0,718,5,12,33,fr FRA,MF,it Serie A,24.0,2000.0,13.5,50,3.64,35,10,2,2,1,0,10,0.73,33,fr FRA,MF,it Serie A,24.0,2000.0,13.5,32,19,11,16,5,39,43.6,22,13,1,12,6,38,19,0,33,fr FRA,MF,it Serie A,24.0,2000.0,13.5,1021,31,177,607,248,11,1021,32,12,37.5,16,50.0,618,3613,1680,24,28,3,19,8,690,30,42,fr FRA,MF,it Serie A,24.0,2000.0,25,1219,49,35.7,13.5,14,74.0,4,11,16.0,5,1.62,28,16,12,0.89,0.6,19.7,13.6,6.1,0.44,33,fr FRA,MF,it Serie A,24.0,2000.0,13.5,3,1,1,9,20,0,63,6,19,0,0,0,77,5,16,23.8,,,,,,,,MF
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18.0,2006.0,6,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.05,36,me MNE,"MF,FW",it Serie A,18.0,2006.0,0.5,0,1,1,100.0,2.14,2.14,0.0,0.0,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0,36,me MNE,"MF,FW",it Serie A,18.0,2006.0,0.5,15,20,75.0,255,52,0,0.0,0.0,0.0,0,1,1,0,1,36,me MNE,"MF,FW",it Serie A,18.0,2006.0,0.5,20,20,0,0,0,0,0,0,0,0,0,0,15,0,1,36,me MNE,"MF,FW",it Serie A,18.0,2006.0,0.5,2,4.29,1,0,0,1,0,0,0,0.0,36,me MNE,"MF,FW",it Serie A,18.0,2006.0,0.5,2,2,0,1,1,1,0.0,1,0,0,0,0,2,0,0,36,me MNE,"MF,FW",it Serie A,18.0,2006.0,0.5,24,0,5,8,11,2,24,1,0,0.0,1,100.0,14,40,10,0,1,0,1,1,20,3,46,me MNE,"MF,FW",it Serie A,18.0,2006.0,6,42,7,1.2,0.5,0,,0,6,7.0,16,2.33,1,0,1,2.14,1.56,0.5,0.5,0.0,-0.02,36,me MNE,"MF,FW",it Serie A,18.0,2006.0,0.5,0,0,0,1,1,0,0,0,2,0,0,0,3,2,3,40.0,,,,,,,,MF
